,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,100,CL,1573942051,62,-53.16,-70.91,57.0,16.11
1,Rikitea,95,PF,1573942121,84,-23.12,-134.97,74.28,15.75
2,Nizwa,100,OM,1573941674,57,22.93,57.53,61.45,4.14
3,Albany,20,US,1573941517,30,42.65,-73.75,30.0,6.93
4,Balkanabat,0,TM,1573942122,51,39.51,54.36,38.08,5.82
5,Atuona,1,PF,1573941626,73,-9.8,-139.03,79.72,15.26
6,Yaan,100,NG,1573942122,57,7.38,8.57,81.14,3.38
7,Hilo,90,US,1573941630,69,19.71,-155.08,82.4,10.29
8,Brae,85,GB,1573941635,75,60.4,-1.35,33.8,1.12
9,Ushuaia,40,AR,1573941517,54,-54.81,-68.31,55.4,12.75
10,Sitia,100,GR,1573942123,78,35.21,26.11,63.0,5.99
11,Dikson,0,RU,1573941618,88,73.51,80.55,-12.1,8.23
12,Hobart,75,AU,1573941604,43,-42.88,147.33,51.01,3.36
13,Moose Factory,75,CA,1573942123,57,51.26,-80.61,19.4,10.29
14,Spearfish,75,US,1573941870,79,44.49,-103.86,50.0,17.22
15,Kodiak,1,US,1573941651,32,39.95,-94.76,59.0,16.11
16,Hermanus,52,ZA,1573942123,93,-34.42,19.24,59.0,15.17
17,Coihueco,20,CL,1573942124,41,-36.63,-71.83,75.2,10.29
18,Grindavik,40,IS,1573941696,62,63.84,-22.43,32.0,12.75
19,Bethel,75,US,1573941643,71,60.79,-161.76,10.4,20.8
20,College,90,US,1573941679,84,64.86,-147.8,9.0,5.82
21,Longyearbyen,75,NO,1573941715,98,78.22,15.63,32.0,9.17
22,Thompson,90,CA,1573941337,78,55.74,-97.86,17.6,5.82
23,Chateauroux,90,FR,1573941683,93,43.72,0.65,45.0,5.82
24,Te Anau,65,NZ,1573942124,73,-45.41,167.72,47.26,14.0
25,Uribia,22,CO,1573942124,67,11.71,-72.27,84.0,10.13
26,Port Alfred,13,ZA,1573942125,94,-33.59,26.89,66.0,1.01
27,El Tigre,99,VE,1573942125,52,8.89,-64.25,86.34,1.72
28,Yellowknife,90,CA,1573941609,77,62.45,-114.38,5.0,3.36
29,Bredasdorp,78,ZA,1573941634,72,-34.53,20.04,60.8,2.24
30,Batagay,100,RU,1573942125,98,67.65,134.64,-19.97,0.36
31,Abha,33,SA,1573942125,66,18.22,42.5,57.2,0.74
32,Talaya,75,RU,1573941660,77,55.79,84.89,3.99,20.13
33,Berlevag,25,NO,1573941639,73,70.86,29.09,33.71,11.18
